Response ID,"We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 09:30 AM - 10:30 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 10:00 AM - 11:00 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 10:30 AM - 11:30 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 11:00 AM - 12:00 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 01:00 PM - 02:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 01:30 PM - 02:30 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 02:00 PM - 03:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 02:30 PM - 03:30 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 03:00 PM - 04:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Wednesday : 03:30 PM - 04:30 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 09:30 AM - 10:30 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 10:00 AM - 11:00 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 10:30 AM - 11:30 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 11:00 AM - 12:00 AM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 01:00 PM - 02:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 01:30 PM - 02:30 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 02:00 PM - 03:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 02:30 PM - 03:30 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 03:00 PM - 04:00 PM]","We are considering a possible new time slot for the ML-MTP sessions.Can you give a score between 1 and 5 to all time slots, where 1 means ""I will never come"" and 5 means ""I will always come""?  The considered time slots are as follows:  [Thursday : 03:30 PM - 04:30 PM]"
1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
2,4,1,1,1,1,3,4,4,1,1,4,1,1,1,1,3,4,4,1,1
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,4,4,4,4,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1
6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,1,1,1,3,3,3,5,5,5,5,1,1,1,3,3,3,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,,,,,
9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,,,,,,,,,,,,,,,,,,,,
11,1,1,1,1,5,5,5,5,5,5,1,1,1,1,4,4,4,4,4,4
12,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,4,4,4
13,2,,,,,,,,,,2,,,,,,,,,
14,1,1,1,3,3,3,1,1,1,1,1,1,1,2,1,,1,1,1,1
15,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,
17,1,1,3,2,2,1,1,3,3,2,1,1,3,2,2,1,1,3,3,2
18,4,4,4,5,5,5,5,5,5,5,2,1,1,2,2,2,1,2,5,5
19,4,4,4,2,1,4,4,4,4,4,3,3,3,1,3,3,3,3,3,3
20,3,4,4,4,2,2,2,2,2,2,3,5,5,3,2,2,2,2,2,2
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4
22,4,2,2,2,2,2,2,2,3,4,4,2,2,2,2,2,2,2,3,4
23,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4
24,3,3,3,3,2,2,3,3,3,3,,,2,2,2,2,,,,
25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26,1,1,1,3,4,4,4,4,4,4,1,3,4,4,2,1,1,1,1,1
27,3,3,3,3,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3
28,2,2,2,2,3,3,3,4,4,4,2,1,1,1,4,4,4,2,2,2
29,,,,,,,,,,,,,,,,,,,,
